rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
22222,house,2250.02,3,3,3,1,South,Sector 14,,5.0,0,0,0,0,Mid,4,0.0
23333,house,4071.49,5,7,3+,2,East,Sector 33,unitech uniworld resorts,9.5,1,1,1,0,Under Construction,16,0.0
29336,house,2471.37,8,8,3+,0,North-East,Sector 56,,7.25,0,0,0,0,Mid,3,25.5
10288,house,1458.01,3,3,No,,,Ashok Vihar,,1.5,0,0,0,0,Old,0,0.0
11284,house,1152.07,3,2,1,3,,Sector 93,dlf gardencity enclave,1.3,0,0,0,0,Relatively New,0,0.0
11029,house,3400.13,5,5,3+,3,,Sector 5,,3.75,0,0,0,0,undefined,0,0.5
10277,house,360.03,4,3,2,3,East,Rajendra Park,rajendra park gurgaon,0.37,0,0,0,0,Relatively New,0,0.0
6944,house,3240.21,10,10,2,1,East,Rajiv Nagar,,2.25,0,0,0,0,undefined,0,0.5
8518,house,1350.08,5,3,2,2,North-East,Madanpuri,,1.15,0,0,1,0,Old,4,0.0
10555,house,900.05,3,2,2,3,South-East,New Palam Vihar Phase,,0.95,0,0,0,0,Old,4,0.0
11250,house,435.56,6,3,2,3,East,Arjun Nagar,,0.49,0,0,0,0,Mid,2,0.0
557,house,26032.32,4,4,2,2,East,Ashok Vihar Phase I,,1.45,0,1,1,0,Mid,10,13.5
8888,house,900.09,2,2,1,1,,Sector 5,house number b-,0.8,0,0,0,0,Old,0,0.5
11852,house,1349.98,5,5,2,3,,Surya Vihar,,1.6,0,0,0,0,Relatively New,0,3.5
8947,house,950.04,6,6,2,2,North,Block H Ashok Vihar Phase Iii Extension,,0.85,1,1,1,1,Relatively New,9,0.0
39265,house,1782.76,5,5,2,3,North-East,Dlf Phase,,7.0,0,1,0,0,Relatively New,2,7.5
6083,house,821.96,3,2,1,1,,Devilal Colony,,0.5,0,0,0,0,undefined,0,0.5
230547,house,347.0,10,10,3+,1,North,Sector 38,,8.0,0,0,0,0,undefined,0,3.5
8411,house,535.01,3,2,1,1,,Surya Vihar,,0.45,0,0,0,0,undefined,0,0.0
32291,house,192.0,6,6,No,3,,Prem Nagar,,0.62,0,0,0,0,undefined,0,0.5
41666,house,240.0,6,4,No,3,,Bhim Nagar,,1.0,0,0,0,0,undefined,0,0.5
8889,house,4634.94,2,1,3+,,,Laxman Vihar Phase,,4.12,0,0,0,0,Mid,0,0.0
7280,house,1304.95,7,6,3+,3,,Surat Nagar,,0.95,0,0,0,0,Old,0,7.0
90000,house,50.0,5,3,No,1,,Gandhi Nagar,,0.45,0,0,0,0,undefined,0,0.5
10089,house,446.03,5,3,2,3,,Khandsa,,0.45,0,0,0,0,Old,0,1.0
8697,house,2150.17,3,4,No,12,,Sector 109,ats tourmaline,1.87,0,0,0,0,undefined,0,0.0
